Feedback_ID,Customer_ID,Date_Submitted,Feedback_Text,Satisfaction_Score,Contacted_Agent,Referred_Claim,Unmatched_Customer_Flag
FDB90337,,2023-05-27,Claim process could be faster.,3,No,No,Yes
FDB90338,,2022-12-19,Frustrated with repeated documentation requests.,1,No,Yes,Yes
FDB90339,CUST10141,2020-08-11,Frustrated with repeated documentation requests.,2,Yes,Yes,No
FDB90340,CUST12344,2020-10-07,Very satisfied with the claim process.,5,Yes,No,No
FDB90341,,2021-11-06,Claim process could be faster.,2,No,Yes,Yes
FDB90342,CUST10345,2020-11-03,Had to wait too long for claim approval.,1,No,No,No
FDB90343,,2020-12-11,Very satisfied with the claim process.,4,Yes,Yes,Yes
FDB90344,CUST12431,2022-12-30,I'm not happy with the premium charged.,2,Yes,Yes,No
FDB90345,,2020-01-22,Excellent customer service support.,5,No,No,Yes
FDB90346,,2023-02-21,Had to wait too long for claim approval.,1,No,No,Yes
FDB90347,,2022-06-17,Need more clarity on policy coverage.,1,Yes,Yes,Yes
FDB90348,,2023-11-11,Very satisfied with the claim process.,4,Yes,Yes,Yes
FDB90349,CUST10714,2023-10-27,Smooth experience with no issues.,5,Yes,Yes,No
FDB90350,CUST10160,2020-07-25,Very satisfied with the claim process.,5,Yes,No,No
FDB90351,CUST12431,2022-09-22,Need more clarity on policy coverage.,3,Yes,No,No
FDB90352,CUST10030,2022-04-14,The agent was helpful and explained everything.,4,No,Yes,No
FDB90353,,2020-07-20,Excellent customer service support.,5,No,Yes,Yes
FDB90354,CUST12226,2021-01-07,The agent was helpful and explained everything.,4,Yes,No,No
FDB90355,CUST10150,2023-10-05,The agent was helpful and explained everything.,4,Yes,No,No
FDB90356,,2020-02-22,Very satisfied with the claim process.,4,Yes,Yes,Yes
FDB90357,,2020-11-19,Had to wait too long for claim approval.,1,Yes,Yes,Yes
FDB90358,CUST11862,2023-01-11,Claim process could be faster.,2,No,Yes,No
FDB90359,CUST11987,2022-10-10,Smooth experience with no issues.,4,Yes,No,No
FDB90360,CUST10045,2020-10-08,Very satisfied with the claim process.,4,Yes,No,No
FDB90361,,2022-03-14,Claim process could be faster.,2,Yes,Yes,Yes
FDB90362,,2021-04-03,The agent was helpful and explained everything.,5,Yes,Yes,Yes
FDB90363,CUST10452,2023-06-04,Very satisfied with the claim process.,5,No,No,No
FDB90364,,2021-08-23,Had to wait too long for claim approval.,1,Yes,No,Yes
FDB90365,CUST10968,2023-11-09,The agent was helpful and explained everything.,5,Yes,No,No
FDB90366,CUST11028,2022-09-21,Claim process could be faster.,2,No,Yes,No
FDB90367,CUST10336,2023-05-02,Very satisfied with the claim process.,4,Yes,Yes,No
FDB90368,,2021-03-04,Need more clarity on policy coverage.,2,Yes,No,Yes
FDB90369,CUST10576,2020-06-09,Frustrated with repeated documentation requests.,1,No,Yes,No
FDB90370,CUST10063,2023-10-12,Very satisfied with the claim process.,5,Yes,Yes,No
FDB90371,CUST10444,2023-09-22,Excellent customer service support.,5,No,No,No
FDB90372,CUST12338,2023-07-13,Had to wait too long for claim approval.,1,Yes,Yes,No
FDB90373,CUST12020,2021-01-25,Had to wait too long for claim approval.,2,No,No,No
FDB90374,,2023-06-03,Had to wait too long for claim approval.,1,No,Yes,Yes
FDB90375,CUST12254,2023-12-10,Need more clarity on policy coverage.,3,Yes,Yes,No
FDB90376,CUST10210,2021-12-19,Need more clarity on policy coverage.,2,No,No,No
FDB90377,,2022-05-21,Claim process could be faster.,2,No,Yes,Yes
FDB90378,CUST10763,2023-06-16,Had to wait too long for claim approval.,2,No,No,No
FDB90379,CUST12246,2021-04-12,Very satisfied with the claim process.,4,Yes,No,No
FDB90380,CUST11217,2020-09-24,Claim process could be faster.,3,No,Yes,No
FDB90381,CUST10200,2020-12-04,I'm not happy with the premium charged.,3,No,No,No
FDB90382,CUST10255,2023-09-29,Very satisfied with the claim process.,5,Yes,Yes,No
FDB90383,CUST11198,2023-01-27,Excellent customer service support.,5,No,No,No
FDB90384,,2020-05-04,The agent was helpful and explained everything.,4,Yes,Yes,Yes
FDB90385,CUST11713,2021-12-06,The mobile app experience was intuitive.,5,No,Yes,No
FDB90386,CUST10228,2020-10-16,Smooth experience with no issues.,4,No,Yes,No
FDB90387,CUST10005,2022-11-30,Excellent customer service support.,5,No,No,No
FDB90388,CUST10136,2021-10-15,Very satisfied with the claim process.,4,No,Yes,No
FDB90389,,2023-01-12,Had to wait too long for claim approval.,2,No,Yes,Yes
FDB90390,,2022-04-14,Claim process could be faster.,2,Yes,No,Yes
FDB90391,,2023-06-02,Need more clarity on policy coverage.,3,Yes,No,Yes
FDB90392,CUST11020,2021-08-02,The mobile app experience was intuitive.,3,No,Yes,No
FDB90393,CUST11894,2022-06-08,Need more clarity on policy coverage.,3,No,No,No
FDB90394,CUST12295,2020-10-25,The agent was helpful and explained everything.,5,Yes,Yes,No
FDB90395,CUST11205,2021-10-04,Excellent customer service support.,4,Yes,Yes,No
FDB90396,CUST12100,2021-04-06,Smooth experience with no issues.,5,Yes,No,No
FDB90397,CUST12215,2023-06-06,I'm not happy with the premium charged.,1,Yes,No,No
FDB90398,CUST11284,2022-10-31,Claim process could be faster.,3,Yes,Yes,No
FDB90399,CUST11867,2023-12-29,The agent was helpful and explained everything.,4,Yes,Yes,No
FDB90400,CUST11938,2023-11-09,The mobile app experience was intuitive.,4,Yes,Yes,No
FDB90401,CUST12410,2021-06-13,Need more clarity on policy coverage.,2,No,Yes,No
FDB90402,,2021-06-07,I'm not happy with the premium charged.,2,Yes,No,Yes
FDB90403,,2022-06-14,The mobile app experience was intuitive.,4,No,No,Yes
FDB90404,CUST11740,2021-06-10,The agent was helpful and explained everything.,5,Yes,No,No
FDB90405,,2021-08-30,Very satisfied with the claim process.,5,No,Yes,Yes
FDB90406,CUST10678,2021-07-27,Very satisfied with the claim process.,5,No,No,No
FDB90407,CUST10945,2021-01-08,Smooth experience with no issues.,4,Yes,Yes,No
FDB90408,CUST10911,2023-11-28,The agent was helpful and explained everything.,5,No,No,No
FDB90409,,2021-01-11,Smooth experience with no issues.,4,Yes,Yes,Yes
FDB90410,CUST11292,2023-09-28,Claim process could be faster.,3,No,No,No
FDB90411,,2023-05-13,Had to wait too long for claim approval.,2,No,Yes,Yes
FDB90412,CUST11011,2023-06-13,Very satisfied with the claim process.,5,No,No,No
FDB90413,CUST10291,2022-06-23,Very satisfied with the claim process.,5,No,No,No
FDB90414,CUST11490,2021-02-07,The agent was helpful and explained everything.,5,Yes,Yes,No
FDB90415,CUST12236,2023-02-28,Very satisfied with the claim process.,5,Yes,No,No
FDB90416,,2020-08-02,The agent was helpful and explained everything.,4,Yes,No,Yes
FDB90417,CUST11618,2021-05-16,Excellent customer service support.,4,Yes,Yes,No
FDB90418,CUST11795,2022-01-26,Excellent customer service support.,5,No,No,No
FDB90419,CUST10021,2022-05-22,I'm not happy with the premium charged.,3,Yes,Yes,No
FDB90420,,2023-10-22,Very satisfied with the claim process.,5,Yes,Yes,Yes
FDB90421,,2020-03-24,Need more clarity on policy coverage.,3,Yes,No,Yes
FDB90422,,2020-01-27,Excellent customer service support.,5,No,No,Yes
FDB90423,CUST11277,2022-04-06,Need more clarity on policy coverage.,3,No,Yes,No
FDB90424,,2022-06-26,Smooth experience with no issues.,5,Yes,No,Yes
FDB90425,,2023-11-14,Claim process could be faster.,2,Yes,No,Yes
FDB90426,CUST10693,2022-08-29,Had to wait too long for claim approval.,2,No,No,No
FDB90427,CUST10181,2020-09-07,The agent was helpful and explained everything.,5,No,No,No
FDB90428,CUST11603,2021-10-08,Excellent customer service support.,5,No,No,No
FDB90429,CUST10460,2022-03-24,Smooth experience with no issues.,4,Yes,Yes,No
FDB90430,CUST11826,2021-11-27,Excellent customer service support.,5,No,Yes,No
FDB90431,CUST10102,2020-06-21,Frustrated with repeated documentation requests.,1,Yes,No,No
FDB90432,CUST12402,2022-07-30,Claim process could be faster.,3,No,Yes,No
FDB90433,CUST11053,2021-07-28,Claim process could be faster.,2,No,Yes,No
FDB90434,CUST12472,2021-08-03,I'm not happy with the premium charged.,2,Yes,No,No
FDB90435,,2022-10-27,Claim process could be faster.,2,No,Yes,Yes
FDB90436,CUST12457,2021-01-15,Need more clarity on policy coverage.,2,Yes,No,No
FDB90437,CUST10461,2022-06-28,Claim process could be faster.,3,No,No,No
FDB90438,,2021-03-17,The agent was helpful and explained everything.,5,Yes,Yes,Yes
FDB90439,CUST11528,2020-08-25,Excellent customer service support.,4,Yes,No,No
FDB90440,CUST10802,2022-09-05,The mobile app experience was intuitive.,4,No,Yes,No
FDB90441,,2021-08-02,Need more clarity on policy coverage.,1,No,Yes,Yes
FDB90442,CUST11712,2023-01-26,I'm not happy with the premium charged.,2,Yes,No,No
FDB90443,CUST10806,2023-06-05,Need more clarity on policy coverage.,2,Yes,No,No
FDB90444,CUST10938,2022-02-21,The agent was helpful and explained everything.,5,No,No,No
FDB90445,CUST10150,2022-12-07,Excellent customer service support.,4,No,No,No
FDB90446,CUST12279,2022-05-28,Excellent customer service support.,5,Yes,Yes,No
FDB90447,CUST11412,2023-09-16,Excellent customer service support.,4,Yes,No,No
FDB90448,CUST12139,2022-04-08,Had to wait too long for claim approval.,2,Yes,Yes,No
FDB90449,CUST11649,2023-06-27,Frustrated with repeated documentation requests.,1,Yes,Yes,No
FDB90450,,2022-04-19,Frustrated with repeated documentation requests.,1,No,No,Yes
FDB90451,CUST10928,2022-07-25,Excellent customer service support.,5,Yes,Yes,No
FDB90452,CUST10309,2022-09-27,Excellent customer service support.,4,Yes,No,No
FDB90453,CUST12236,2023-09-26,Frustrated with repeated documentation requests.,1,Yes,No,No
FDB90454,,2022-07-02,Need more clarity on policy coverage.,3,No,Yes,Yes
FDB90455,,2023-12-01,Smooth experience with no issues.,5,No,No,Yes
FDB90456,CUST10538,2022-08-19,Need more clarity on policy coverage.,3,Yes,No,No
FDB90457,,2020-11-16,Smooth experience with no issues.,4,Yes,No,Yes
FDB90458,CUST10285,2021-02-04,The agent was helpful and explained everything.,4,No,No,No
FDB90459,,2022-07-07,Need more clarity on policy coverage.,3,Yes,No,Yes
FDB90460,CUST10813,2022-07-21,Smooth experience with no issues.,4,No,No,No
FDB90461,CUST11323,2021-01-11,The mobile app experience was intuitive.,5,No,Yes,No
FDB90462,CUST10813,2020-02-22,Smooth experience with no issues.,4,No,No,No
FDB90463,,2023-02-24,The mobile app experience was intuitive.,3,Yes,Yes,Yes
FDB90464,,2020-02-04,The mobile app experience was intuitive.,5,No,Yes,Yes
FDB90465,CUST10459,2021-05-04,I'm not happy with the premium charged.,3,Yes,No,No
FDB90466,,2022-09-16,Excellent customer service support.,5,Yes,No,Yes
FDB90467,CUST10238,2023-08-18,I'm not happy with the premium charged.,1,Yes,No,No
FDB90468,CUST10546,2023-01-17,The agent was helpful and explained everything.,4,No,Yes,No
FDB90469,,2023-11-13,Excellent customer service support.,5,Yes,No,Yes
FDB90470,,2022-05-03,Claim process could be faster.,3,Yes,Yes,Yes
FDB90471,CUST10328,2020-01-28,Very satisfied with the claim process.,4,No,No,No
FDB90472,CUST12282,2021-03-12,The mobile app experience was intuitive.,4,Yes,No,No
FDB90473,CUST11281,2021-07-02,Very satisfied with the claim process.,5,Yes,No,No
FDB90474,CUST11296,2022-04-11,The agent was helpful and explained everything.,5,Yes,Yes,No
FDB90475,,2021-02-15,Very satisfied with the claim process.,5,No,No,Yes
FDB90476,CUST11119,2021-01-31,The mobile app experience was intuitive.,4,No,Yes,No
FDB90477,CUST10795,2022-11-20,Very satisfied with the claim process.,5,Yes,Yes,No
FDB90478,,2022-09-06,Need more clarity on policy coverage.,3,No,No,Yes
FDB90479,CUST10851,2023-12-21,Need more clarity on policy coverage.,3,No,Yes,No
FDB90480,,2023-04-23,Had to wait too long for claim approval.,2,Yes,No,Yes
FDB90481,,2023-01-07,The agent was helpful and explained everything.,4,Yes,No,Yes
FDB90482,,2021-11-23,Claim process could be faster.,2,No,No,Yes
FDB90483,,2023-01-13,Smooth experience with no issues.,5,Yes,No,Yes
FDB90484,,2023-08-28,Frustrated with repeated documentation requests.,1,Yes,Yes,Yes
FDB90485,,2020-09-27,Claim process could be faster.,3,No,Yes,Yes
FDB90486,CUST10746,2023-10-23,Smooth experience with no issues.,5,No,Yes,No
FDB90487,,2023-08-03,Smooth experience with no issues.,5,No,No,Yes
FDB90488,CUST12110,2021-03-14,I'm not happy with the premium charged.,2,Yes,No,No
FDB90489,,2022-11-24,The agent was helpful and explained everything.,4,Yes,No,Yes
FDB90490,,2023-06-18,I'm not happy with the premium charged.,2,No,Yes,Yes
FDB90491,CUST10706,2021-05-11,The agent was helpful and explained everything.,5,Yes,Yes,No
FDB90492,,2022-03-21,The mobile app experience was intuitive.,4,Yes,No,Yes
FDB90493,CUST11497,2022-07-05,Claim process could be faster.,3,Yes,Yes,No
FDB90494,CUST10459,2023-10-17,The agent was helpful and explained everything.,5,Yes,Yes,No
FDB90495,CUST11725,2020-09-01,Smooth experience with no issues.,4,No,Yes,No
FDB90496,CUST11561,2021-02-15,Claim process could be faster.,2,No,No,No
FDB90497,CUST12124,2021-05-03,Had to wait too long for claim approval.,1,No,Yes,No
FDB90498,,2022-07-04,I'm not happy with the premium charged.,2,Yes,Yes,Yes
FDB90499,,2022-09-25,Very satisfied with the claim process.,5,No,Yes,Yes
FDB90500,,2023-08-03,The agent was helpful and explained everything.,4,No,Yes,Yes
FDB90501,CUST11609,2022-12-22,Excellent customer service support.,4,No,Yes,No
FDB90502,CUST10097,2020-03-09,The mobile app experience was intuitive.,4,Yes,No,No
FDB90503,CUST10264,2021-09-26,Need more clarity on policy coverage.,2,No,Yes,No
FDB90504,CUST12035,2022-08-21,The agent was helpful and explained everything.,4,No,Yes,No
FDB90505,CUST11913,2020-01-31,Frustrated with repeated documentation requests.,1,No,Yes,No
FDB90506,CUST11314,2022-06-12,The mobile app experience was intuitive.,5,No,No,No
FDB90507,CUST11065,2023-08-12,Smooth experience with no issues.,4,No,Yes,No
FDB90508,,2023-09-03,Smooth experience with no issues.,5,No,Yes,Yes
FDB90509,CUST10655,2022-01-12,Excellent customer service support.,4,No,Yes,No
FDB90510,CUST12312,2020-02-08,I'm not happy with the premium charged.,2,No,Yes,No
FDB90511,CUST10969,2021-05-11,Very satisfied with the claim process.,4,Yes,Yes,No
FDB90512,,2021-01-23,The agent was helpful and explained everything.,4,Yes,Yes,Yes
FDB90513,,2020-11-22,Excellent customer service support.,5,No,No,Yes
FDB90514,CUST10749,2020-03-21,Frustrated with repeated documentation requests.,1,Yes,No,No
FDB90515,CUST10986,2021-02-08,Claim process could be faster.,2,No,Yes,No
FDB90516,CUST10427,2021-07-10,I'm not happy with the premium charged.,3,Yes,Yes,No
FDB90517,,2022-11-05,Excellent customer service support.,4,No,Yes,Yes
FDB90518,CUST10917,2021-08-20,Smooth experience with no issues.,4,No,Yes,No
FDB90519,CUST11870,2022-12-12,The agent was helpful and explained everything.,5,Yes,Yes,No
FDB90520,,2021-10-01,The agent was helpful and explained everything.,4,Yes,No,Yes
FDB90521,,2021-12-09,Frustrated with repeated documentation requests.,3,No,Yes,Yes
FDB90522,CUST11644,2023-10-27,I'm not happy with the premium charged.,3,No,No,No
FDB90523,,2022-05-27,Excellent customer service support.,5,No,Yes,Yes
FDB90524,,2020-04-21,Claim process could be faster.,2,Yes,No,Yes
FDB90525,CUST12203,2020-01-30,I'm not happy with the premium charged.,2,Yes,No,No
FDB90526,,2022-06-04,Frustrated with repeated documentation requests.,2,No,Yes,Yes
FDB90527,CUST12472,2021-11-30,The mobile app experience was intuitive.,5,Yes,Yes,No
FDB90528,CUST10947,2022-07-12,Need more clarity on policy coverage.,3,Yes,No,No
FDB90529,CUST12065,2021-12-14,Smooth experience with no issues.,5,No,Yes,No
FDB90530,,2022-01-22,The mobile app experience was intuitive.,3,No,No,Yes
FDB90531,CUST11986,2020-04-06,Had to wait too long for claim approval.,1,No,Yes,No
FDB90532,CUST11784,2021-12-14,The mobile app experience was intuitive.,3,No,No,No
FDB90533,CUST10769,2022-11-12,Claim process could be faster.,3,Yes,Yes,No
FDB90534,CUST11894,2020-04-11,The agent was helpful and explained everything.,5,Yes,No,No
FDB90535,CUST11144,2021-03-26,Need more clarity on policy coverage.,3,Yes,No,No
FDB90536,,2022-05-17,Excellent customer service support.,5,Yes,Yes,Yes
FDB90537,CUST10837,2022-09-08,Smooth experience with no issues.,4,Yes,Yes,No
FDB90538,CUST10559,2021-11-18,Claim process could be faster.,3,No,No,No
FDB90539,,2021-03-18,I'm not happy with the premium charged.,3,Yes,No,Yes
FDB90540,CUST10515,2021-04-18,I'm not happy with the premium charged.,2,No,No,No
FDB90541,CUST11108,2022-10-11,The agent was helpful and explained everything.,5,Yes,No,No
FDB90542,CUST11056,2023-09-24,Frustrated with repeated documentation requests.,3,Yes,No,No
FDB90543,CUST10844,2021-12-13,Smooth experience with no issues.,5,Yes,Yes,No
FDB90544,CUST11461,2021-01-16,Need more clarity on policy coverage.,3,No,Yes,No
FDB90545,,2023-02-17,Smooth experience with no issues.,4,No,No,Yes
FDB90546,CUST11187,2020-12-20,Need more clarity on policy coverage.,3,Yes,Yes,No
FDB90547,CUST10704,2021-12-10,The agent was helpful and explained everything.,4,No,No,No
FDB90548,CUST10191,2023-05-16,The mobile app experience was intuitive.,4,No,No,No
FDB90549,CUST11819,2020-06-18,The agent was helpful and explained everything.,5,No,No,No
FDB90550,CUST10724,2021-06-16,Frustrated with repeated documentation requests.,1,Yes,No,No
FDB90551,,2022-07-15,The mobile app experience was intuitive.,5,No,Yes,Yes
FDB90552,CUST11764,2022-04-01,Very satisfied with the claim process.,5,No,Yes,No
FDB90553,,2020-12-31,Had to wait too long for claim approval.,2,No,No,Yes
FDB90554,CUST10957,2021-01-04,I'm not happy with the premium charged.,1,No,No,No
FDB90555,,2022-04-28,The mobile app experience was intuitive.,5,No,Yes,Yes
FDB90556,CUST11274,2023-02-03,Need more clarity on policy coverage.,2,No,No,No
FDB90557,CUST10802,2021-03-13,Excellent customer service support.,5,No,Yes,No
FDB90558,CUST11829,2020-07-16,I'm not happy with the premium charged.,1,Yes,Yes,No
FDB90559,CUST10302,2023-02-24,Smooth experience with no issues.,5,No,Yes,No
FDB90560,CUST12105,2022-09-15,Need more clarity on policy coverage.,2,No,No,No
FDB90561,CUST12109,2020-05-15,The agent was helpful and explained everything.,5,No,Yes,No
FDB90562,CUST10587,2022-05-08,Had to wait too long for claim approval.,2,Yes,Yes,No
FDB90563,CUST11715,2021-03-25,The mobile app experience was intuitive.,3,No,Yes,No
FDB90564,CUST10296,2023-04-27,Very satisfied with the claim process.,5,No,Yes,No
FDB90565,,2021-04-07,Had to wait too long for claim approval.,1,Yes,No,Yes
FDB90566,CUST10314,2021-05-17,Frustrated with repeated documentation requests.,3,Yes,No,No
FDB90567,,2021-07-12,Had to wait too long for claim approval.,1,Yes,No,Yes
FDB90568,CUST10910,2023-12-31,Need more clarity on policy coverage.,3,Yes,Yes,No
FDB90569,CUST11757,2021-12-05,Excellent customer service support.,4,No,No,No
FDB90570,,2020-05-24,The agent was helpful and explained everything.,5,Yes,No,Yes
FDB90571,CUST11953,2022-08-11,Frustrated with repeated documentation requests.,2,Yes,No,No
FDB90572,CUST12355,2023-11-09,I'm not happy with the premium charged.,1,No,Yes,No
FDB90573,,2023-05-01,The mobile app experience was intuitive.,3,No,Yes,Yes
FDB90574,CUST11263,2022-03-18,Frustrated with repeated documentation requests.,3,Yes,Yes,No
FDB90575,CUST10933,2023-03-21,The mobile app experience was intuitive.,5,Yes,Yes,No
FDB90576,CUST10710,2023-11-06,The mobile app experience was intuitive.,3,No,No,No
FDB90577,CUST12086,2022-06-07,Very satisfied with the claim process.,4,Yes,Yes,No
FDB90578,,2023-02-11,Need more clarity on policy coverage.,3,No,No,Yes
FDB90579,,2023-08-15,I'm not happy with the premium charged.,2,No,Yes,Yes
FDB90580,CUST10327,2023-01-28,The mobile app experience was intuitive.,4,No,Yes,No
FDB90581,CUST11676,2023-06-05,Very satisfied with the claim process.,5,No,No,No
FDB90582,,2022-10-28,Claim process could be faster.,2,No,No,Yes
FDB90583,CUST12357,2021-11-25,Frustrated with repeated documentation requests.,3,No,No,No
FDB90584,,2022-12-02,Need more clarity on policy coverage.,1,No,No,Yes
FDB90585,CUST10538,2020-06-05,The mobile app experience was intuitive.,5,No,No,No
FDB90586,,2020-09-23,I'm not happy with the premium charged.,3,No,Yes,Yes
FDB90587,CUST11314,2021-02-19,I'm not happy with the premium charged.,3,No,Yes,No
FDB90588,CUST10173,2022-03-20,I'm not happy with the premium charged.,1,No,Yes,No
FDB90589,CUST11255,2023-05-15,The mobile app experience was intuitive.,3,No,No,No
FDB90590,CUST11829,2020-10-25,Smooth experience with no issues.,4,Yes,No,No
FDB90591,CUST11700,2021-04-23,Had to wait too long for claim approval.,2,No,Yes,No
FDB90592,,2020-07-09,Claim process could be faster.,2,No,No,Yes
FDB90593,CUST11904,2021-06-10,The mobile app experience was intuitive.,4,No,Yes,No
FDB90594,CUST12020,2020-06-11,Claim process could be faster.,3,Yes,Yes,No
FDB90595,,2023-10-14,Need more clarity on policy coverage.,1,No,Yes,Yes
FDB90596,CUST12209,2023-03-23,Very satisfied with the claim process.,4,Yes,No,No
FDB90597,,2022-05-23,Had to wait too long for claim approval.,2,No,Yes,Yes
FDB90598,,2020-11-06,The agent was helpful and explained everything.,4,No,No,Yes
FDB90599,,2021-08-17,Had to wait too long for claim approval.,2,Yes,No,Yes
FDB90600,CUST12443,2023-06-02,Excellent customer service support.,4,Yes,Yes,No
FDB90601,CUST12084,2021-12-18,Excellent customer service support.,5,No,No,No
FDB90602,CUST11893,2022-10-11,Excellent customer service support.,5,Yes,Yes,No
FDB90603,CUST12111,2022-06-19,Frustrated with repeated documentation requests.,1,Yes,Yes,No
FDB90604,CUST11040,2022-01-17,Very satisfied with the claim process.,5,No,No,No
FDB90605,CUST10812,2022-12-18,I'm not happy with the premium charged.,3,Yes,No,No
FDB90606,,2021-06-06,Frustrated with repeated documentation requests.,3,Yes,No,Yes
FDB90607,CUST11399,2022-08-31,The agent was helpful and explained everything.,4,Yes,No,No
FDB90608,CUST10133,2023-11-10,Excellent customer service support.,4,Yes,No,No
FDB90609,CUST11652,2022-10-23,The mobile app experience was intuitive.,3,No,No,No
FDB90610,,2022-01-06,The mobile app experience was intuitive.,3,Yes,No,Yes
FDB90611,,2023-05-17,Had to wait too long for claim approval.,1,Yes,No,Yes
FDB90612,CUST12366,2020-04-26,The mobile app experience was intuitive.,4,No,Yes,No
FDB90613,,2022-09-03,Claim process could be faster.,3,Yes,No,Yes
FDB90614,CUST11534,2020-08-05,Excellent customer service support.,4,Yes,Yes,No
FDB90615,CUST11826,2022-09-24,Very satisfied with the claim process.,5,Yes,No,No
FDB90616,,2023-09-04,Very satisfied with the claim process.,5,No,No,Yes
FDB90617,CUST12245,2023-04-26,The mobile app experience was intuitive.,4,Yes,Yes,No
FDB90618,CUST11528,2020-01-09,I'm not happy with the premium charged.,2,No,Yes,No
FDB90619,,2021-02-24,Smooth experience with no issues.,5,Yes,Yes,Yes
FDB90620,CUST12156,2023-07-21,Had to wait too long for claim approval.,2,No,Yes,No
FDB90621,,2022-11-02,I'm not happy with the premium charged.,2,Yes,No,Yes
FDB90622,CUST11983,2021-04-30,Excellent customer service support.,4,Yes,No,No
FDB90623,CUST12211,2020-07-09,Frustrated with repeated documentation requests.,1,Yes,No,No
FDB90624,CUST12120,2022-04-13,Very satisfied with the claim process.,5,Yes,Yes,No
FDB90625,CUST12474,2023-04-19,Excellent customer service support.,5,Yes,Yes,No
FDB90626,CUST11760,2020-04-16,Excellent customer service support.,4,Yes,Yes,No
FDB90627,CUST10935,2020-07-27,Smooth experience with no issues.,4,No,No,No
FDB90628,,2020-03-04,Excellent customer service support.,4,Yes,No,Yes
FDB90629,,2020-06-15,Had to wait too long for claim approval.,1,Yes,Yes,Yes
FDB90630,CUST10683,2023-11-09,The agent was helpful and explained everything.,5,No,Yes,No
FDB90631,CUST11704,2020-05-21,Need more clarity on policy coverage.,3,Yes,No,No
FDB90632,,2023-10-11,The mobile app experience was intuitive.,3,No,Yes,Yes
FDB90633,,2021-07-31,Frustrated with repeated documentation requests.,3,No,Yes,Yes
FDB90634,,2023-11-04,Smooth experience with no issues.,5,Yes,No,Yes
FDB90635,CUST10758,2021-03-19,The mobile app experience was intuitive.,3,Yes,Yes,No
FDB90636,CUST11858,2021-02-08,Frustrated with repeated documentation requests.,1,Yes,Yes,No
FDB90637,CUST10614,2021-01-09,I'm not happy with the premium charged.,3,No,No,No
FDB90638,CUST11105,2021-02-20,Smooth experience with no issues.,4,No,Yes,No
FDB90639,CUST10945,2021-08-07,Need more clarity on policy coverage.,2,No,Yes,No
FDB90640,,2021-08-31,Need more clarity on policy coverage.,3,No,No,Yes
FDB90641,CUST11209,2021-01-09,Need more clarity on policy coverage.,1,No,Yes,No
FDB90642,CUST10797,2023-06-22,I'm not happy with the premium charged.,2,Yes,No,No
FDB90643,CUST11444,2023-08-05,Very satisfied with the claim process.,4,No,Yes,No
FDB90644,CUST12411,2020-01-26,Smooth experience with no issues.,4,No,Yes,No
FDB90645,,2022-07-29,Frustrated with repeated documentation requests.,3,No,No,Yes
FDB90646,,2021-02-21,Need more clarity on policy coverage.,3,No,Yes,Yes
FDB90647,CUST10852,2021-10-03,Very satisfied with the claim process.,5,No,No,No
FDB90648,,2021-07-31,Frustrated with repeated documentation requests.,3,Yes,No,Yes
FDB90649,CUST10142,2022-08-12,Need more clarity on policy coverage.,1,Yes,No,No
FDB90650,CUST12210,2022-03-23,I'm not happy with the premium charged.,1,No,Yes,No
FDB90651,,2021-06-07,Frustrated with repeated documentation requests.,1,No,No,Yes
FDB90652,,2020-09-03,Claim process could be faster.,3,Yes,Yes,Yes
FDB90653,CUST11622,2020-05-29,Excellent customer service support.,5,No,Yes,No
FDB90654,CUST10515,2020-04-05,Excellent customer service support.,4,Yes,Yes,No
FDB90655,,2022-11-12,Had to wait too long for claim approval.,2,No,Yes,Yes
FDB90656,CUST12180,2020-10-02,Smooth experience with no issues.,4,No,Yes,No
FDB90657,,2021-12-27,The mobile app experience was intuitive.,5,Yes,No,Yes
FDB90658,CUST10802,2023-09-20,Very satisfied with the claim process.,5,No,Yes,No
FDB90659,,2022-10-08,The agent was helpful and explained everything.,4,No,No,Yes
FDB90660,CUST10214,2020-09-23,Frustrated with repeated documentation requests.,3,No,Yes,No
FDB90661,CUST11754,2023-05-31,Frustrated with repeated documentation requests.,2,Yes,No,No
FDB90662,,2020-01-13,Excellent customer service support.,4,No,Yes,Yes
FDB90663,CUST11289,2021-08-26,The agent was helpful and explained everything.,4,No,No,No
FDB90664,CUST11777,2020-02-22,Claim process could be faster.,3,No,Yes,No
FDB90665,CUST10980,2021-11-13,Need more clarity on policy coverage.,1,No,Yes,No
FDB90666,CUST10785,2021-05-11,Excellent customer service support.,4,No,No,No
FDB90667,CUST11397,2020-01-22,Had to wait too long for claim approval.,2,No,Yes,No
FDB90668,,2020-03-22,Very satisfied with the claim process.,5,Yes,Yes,Yes
FDB90669,CUST12306,2023-06-23,Frustrated with repeated documentation requests.,1,No,Yes,No
FDB90670,,2023-02-12,Frustrated with repeated documentation requests.,1,Yes,No,Yes
FDB90671,CUST11377,2021-06-20,Frustrated with repeated documentation requests.,3,Yes,No,No
FDB90672,CUST11748,2022-06-23,Frustrated with repeated documentation requests.,3,No,Yes,No
FDB90673,,2022-01-12,The agent was helpful and explained everything.,4,No,No,Yes
FDB90674,CUST11424,2021-09-04,The agent was helpful and explained everything.,5,Yes,Yes,No
FDB90675,CUST10618,2022-11-30,Claim process could be faster.,2,Yes,No,No
